Feature,Corr_Score,Abs_Correlation,RF_Score,Importance,MI_Score_Norm,MI_Score,Composite_Score
science_q10_average_score,0.2981438141962815,0.1305973043352185,0.0001902453946716263,4.0042816998751245e-05,0.10771238902622005,0.08225115396569205,0.1353488162057244
ST100,0.06407198803454651,0.02806574720749149,0.0004615757328239475,9.715237855000965e-05,0.32690380723060636,0.24962973733643778,0.13047912366599226
ST102,0.05149422819723016,0.022556253295107714,0.0005163110758920829,0.0001086730638713248,0.33637081551177556,0.2568589183319441,0.12946045159496591
ST188,0.12458784871673578,0.054573787617199665,0.000332708003496086,7.002832168951643e-05,0.2622289647152157,0.20024284249980617,0.12904984047848253
IC173,0.18143390774555637,0.07947432795293563,0.00028964229275507116,6.09638585149931e-05,0.20265548081686044,0.15475143857965445,0.12812634361839062
ST161,0.0987875321415657,0.0432723564444764,0.0002505609447732489,5.273802330882806e-05,0.28106789797770354,0.2146285971407611,0.1267019970213475
ST005,0.27060860431496864,0.11853592987907598,0.00027056356017572685,5.694817025845767e-05,0.108828696903827,0.08310358711608679,0.12656928825965713
ST307,0.10100167413715949,0.04424222723257057,0.000233972340183073,4.924645675072243e-05,0.2738280177092192,0.20910009190529255,0.1250212213955206
ST158,0.03655447994520549,0.016012126748592405,0.0002449982438446695,5.156718700192897e-05,0.33325829589066613,0.2544821413159335,0.12335259135990544
ST097,0.03539092749267286,0.015502450523502746,0.000639338056763199,0.00013456776103040247,0.32109988653682975,0.24519775714451875,0.11904338402875526
ST153,0.023677202520222013,0.010371433771570106,0.0003924958939037008,8.261246628058954e-05,0.3307286501143992,0.2525504574483355,0.11826611617617498
ST062,0.14254821967323775,0.062441051400963794,0.00014905663998027356,3.137341520135637e-05,0.21066870787538491,0.16087048559468542,0.11778866139620098
ST113,0.10228521944579005,0.04480446447955538,0.000583548386666549,0.00012282516114273202,0.24607228328246525,0.18790530450520926,0.11631368370497396
ST263,0.10251659771525186,0.044905816165670076,0.00018615062221781124,3.9180950017410335e-05,0.2460361061268634,0.18787767896628704,0.11624628482144435
MISSSC,0.3138070590692681,0.13745834742970237,8.874795328245636e-06,1.8679653499297744e-06,0.033276218416532465,0.02541033013117877,0.1156973840937096
ST175,0.049313683469464374,0.02160109927255568,0.0002574231533163585,5.418237974843226e-05,0.29747066640026937,0.2271540516700412,0.11568059100768337
ST213,0.07724099688836283,0.033834228642235564,0.000312454577282651,6.576538412478785e-05,0.26480652441124725,0.20221111431450378,0.11411999195896423
FL164,0.26369164203217044,0.11550606112007797,2.6139171484353852e-05,5.501768187627323e-06,0.07411863575181658,0.05659834839858302,0.11261213898515714
FL160,0.2555500775957395,0.11193977425501032,1.7878569230052533e-05,3.7630780871946696e-06,0.0798330321138506,0.06096196617035332,0.11180032942627338
ST098,0.002084356139757563,0.0009130200935434828,0.0007591390943564053,0.0001597834622193088,0.33235063174007434,0.25378903233864314,0.11173137565806278
math_q12_total_timing,0.0768924062635378,0.03368153388973365,0.0024399977548862166,0.0005135702955906798,0.2534793876338857,0.19356150511459624,0.11093726388410324
ST146,0.011454575393155638,0.005017500271415357,0.0006806472550675083,0.000143262513778135,0.3198898550980608,0.24427375496544457,0.11067502591542798
ST034,0.06009054820496291,0.026321738831808158,0.0003531590993805964,7.433286473162718e-05,0.270170974363649,0.20630750659551467,0.11020489388933084
ST270,0.050840841712340365,0.02227004741206533,0.00036949000946603076,7.777019179598444e-05,0.27053858494914407,0.20658822077463856,0.10724963889031681
reading_q5_total_timing,0.1372743937980533,0.06013093322967422,0.0004946721890778543,0.00010411851480455533,0.18344420530440703,0.14008135657388365,0.10707109043051273
ST266,0.20923566224850337,0.09165245817395729,1.7823380294960143e-05,3.7514619299043714e-06,0.11171786313213147,0.08530980738865823,0.10699044958697661
ST008,0.10873558978140672,0.0476299498248284,0.00019194403776341475,4.040034709606625e-05,0.21179791265056824,0.16173276705239026,0.10690848215657946
ST104,0.015005717441865286,0.006573023333743944,0.00031668224019365976,6.665522186603847e-05,0.30399178245895,0.23213369538437867,0.10643806071366964
ST006.1,0.10484808374078808,0.04592708769817219,0.0002471558971057384,5.202132947843343e-05,0.21122383961851482,0.16129439436588822,0.10543969308546954
OECD,0.26481639784301064,0.11599874307401044,0.00021334748131949906,4.490534010753287e-05,0.05021975354859245,0.03834872402875478,0.1050831662909742
ST211,0.07851435568693325,0.034392003845431125,0.00021788358612301578,4.58600986437271e-05,0.23497823919638744,0.1794336891555206,0.10457015948981457
ST160,0.02780101360866912,0.012177805683698117,0.00029143281393671116,6.134072709639846e-05,0.2807792526305211,0.2144081822645596,0.10295723301770898
ST006,0.10511918662543884,0.04604584013993703,0.00014541663803200445,3.060726823553246e-05,0.20252459084332647,0.15465148859745614,0.1025963980355991
ST168,0.031147750504002925,0.013643792217841224,0.00024162151189117335,5.085645305800844e-05,0.2719525465700839,0.20766794777760378,0.10111397286199265
FL169,0.2183937839429114,0.09566403228388054,2.076640201707474e-05,4.3709086210865394e-06,0.07890056138089468,0.06024991443221772,0.09910503724194104
science_q2_total_timing,0.11470853017997816,0.0502463043418965,0.0011684623297121945,0.000245937744350445,0.17582765710822396,0.13426522080681913,0.09723488320597144
science_q3_total_timing,0.10045101812090662,0.044001020848556005,0.0014868587622138907,0.0003129537691100823,0.18805236383379698,0.14360023086611484,0.09666341357230583
FL162,0.21694787635901597,0.09503067474371613,1.8528290982684226e-05,3.8998314066936515e-06,0.06437825700790782,0.04916041670853044,0.09378155388596882
ST223,0.16801421432328484,0.07359603800525312,0.00029879542367301185,6.289040789057898e-05,0.10993174404822023,0.08394589412761189,0.09274825126505937
reading_q6_total_timing,0.11252977838924995,0.04929193568779017,0.0005593172297583847,0.00011772499152539957,0.1642460772277805,0.12542131419102187,0.09244505761559628
GRADE,0.2268189046170524,0.09935452659015301,5.31271548177658e-05,1.1182194143012292e-05,0.049636593450374716,0.037903412292019656,0.09216954174074828
